epoch,model_name,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tp,train_fp,train_tn,train_fn,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_tp,val_fp,val_tn,val_fn,epoch_time_seconds
26,MLC-19k,0.5651249206983127,76.878612716763,0.7776780960212135,0.7633833495790345,0.7692547229843507,399,120,1437,120,0.6791082918643951,73.64341085271317,0.7289869281045752,0.7262336093857833,0.7245065789473684,95,34,353,34,35.75668811798096
27,MLC-19k,0.5362778562765855,80.15414258188824,0.8000178906054034,0.7929543846518821,0.7962311837411031,416,103,1454,103,0.7419530275989982,68.21705426356588,0.6819087850193841,0.6969246031746031,0.680854051995796,88,41,346,41,35.95905160903931
28,MLC-19k,0.5561141438209094,79.76878612716763,0.8040184366246281,0.7912712810413659,0.7964431121067935,414,105,1452,105,0.7280736898674685,72.86821705426357,0.7310874704491725,0.7351061076604555,0.7295284246421679,94,35,352,35,36.43915891647339
29,MLC-19k,0.538002278483831,79.57610789980733,0.8001865596621619,0.7876392848847482,0.7932641644752569,413,106,1451,106,0.6948523977223564,71.31782945736434,0.709847868461314,0.7077251552795031,0.7029487942932146,92,37,350,37,36.17911386489868
30,MLC-19k,0.5327391496071449,80.53949903660886,0.8100941617464699,0.7970866160568408,0.8026695639041863,418,101,1456,101,0.6725242751486161,72.86821705426357,0.7244011470985157,0.7287569013112492,0.7247129921578139,94,35,352,35,37.56136965751648
31,MLC-19k,0.5247481889449633,77.64932562620423,0.7763424611916938,0.7672123667174221,0.7713148985852059,403,116,1441,116,0.6706352426725275,74.4186046511628,0.749885531135531,0.7575267425810904,0.7477203647416413,96,33,354,33,37.2521858215332
32,MLC-19k,0.5067700541936434,80.15414258188824,0.8066114202346119,0.7938028738016728,0.7994493448321388,416,103,1454,103,0.6956206884454278,67.44186046511628,0.6737556264644223,0.6783169427191167,0.6617647530339708,87,42,345,42,36.77454876899719
33,MLC-19k,0.5071099689373604,81.11753371868978,0.8111113023946473,0.8111361621367299,0.8108077520476193,421,98,1459,98,0.6945880931966445,75.1937984496124,0.7608552631578948,0.7433402346445825,0.7447574119664232,97,32,355,32,37.43492889404297
34,MLC-19k,0.4967017004123101,82.08092485549133,0.8261201739966533,0.81550098566077,0.8197778868548817,426,93,1464,93,0.6622871388407314,75.96899224806202,0.7619333791208791,0.7612534506556247,0.7582918577242991,98,31,356,31,36.78704047203064
35,MLC-19k,0.5031112822202536,80.92485549132948,0.814139211103805,0.8094331160181291,0.8116786319130981,420,99,1458,99,0.7314250521800097,74.4186046511628,0.7479914863703819,0.7240510697032435,0.723867564360522,96,33,354,33,36.56975483894348
36,MLC-19k,0.5099039064003871,80.34682080924856,0.8082565814105238,0.8039521602150388,0.8058141485187555,417,102,1455,102,0.6829910190666423,72.09302325581395,0.7174888250319285,0.7183531746031746,0.7074433824433823,93,36,351,36,37.76191711425781
37,MLC-19k,0.4969983520416113,80.92485549132948,0.8126437535229282,0.8007636518483372,0.805688429217841,420,99,1458,99,0.6404197356280159,77.51937984496125,0.7777208976157082,0.7857574189095928,0.777456645775771,100,29,358,29,36.83213019371033
38,MLC-19k,0.4663737065516985,84.00770712909441,0.8495631541126835,0.8350144325353419,0.8414736032756494,436,83,1474,83,0.6733057972262887,74.4186046511628,0.7436518279321876,0.7533730158730159,0.7426071845754724,96,33,354,33,38.15057301521301
39,MLC-19k,0.4886251733853267,80.53949903660886,0.8074205364527947,0.8071897292758123,0.807290982147481,418,101,1456,101,0.6640171496307149,74.4186046511628,0.7367470492470493,0.7268288474810213,0.7235036043717541,96,33,354,33,37.64948558807373
40,MLC-19k,0.46955553797575145,82.46628131021194,0.8329211967583576,0.8156571806330066,0.8231013396599787,428,91,1466,91,0.68408062089892,75.1937984496124,0.7487396862396862,0.7596230158730158,0.7441710664806758,97,32,355,32,35.83669638633728
41,MLC-19k,0.45265304079422586,83.42967244701349,0.8398211095709276,0.8345238583507205,0.8368763199179752,433,86,1471,86,0.6734035584856483,73.64341085271317,0.7437379581638769,0.7526785714285714,0.7463112773829061,95,34,353,34,35.863771200180054
42,MLC-19k,0.48091628001286435,82.65895953757226,0.8310061686910434,0.8201973008975172,0.8250583059386032,429,90,1467,90,0.6888544121209312,74.4186046511628,0.7315263061746438,0.7504960317460316,0.7375929581811935,96,33,354,33,36.06023645401001
43,MLC-19k,0.469417279614852,80.73217726396918,0.8068026993743407,0.8093869428237345,0.8068858312555791,419,100,1457,100,0.6411343742819393,72.09302325581395,0.7173741345701419,0.7147688060731539,0.7082817303469477,93,36,351,36,38.84857153892517
44,MLC-19k,0.4612393806760128,81.11753371868978,0.8148649546025307,0.8073248481804484,0.8107029309066862,421,98,1459,98,0.6398226969382342,74.4186046511628,0.753716020821284,0.7557971014492754,0.7476818562476537,96,33,354,33,39.347201108932495
45,MLC-19k,0.44430362490507275,85.35645472061657,0.8574358111713164,0.8502921069714903,0.8532185155496598,443,76,1481,76,0.6605362006846596,72.09302325581395,0.7304864253393666,0.7218124568668047,0.721511741180759,93,36,351,36,37.76024389266968
46,MLC-19k,0.45064727388895476,84.77842003853564,0.851133958046513,0.8468582375631051,0.8482310801900621,440,79,1478,79,0.6184727347948972,72.86821705426357,0.7503947368421053,0.7299042443064181,0.7264194139194139,94,35,352,35,37.588929176330566
47,MLC-19k,0.44027567838247006,84.58574181117534,0.8496857744841617,0.8405928615528773,0.844108355774197,439,80,1477,80,0.6005318673217998,76.74418604651163,0.7858463396506875,0.7473084886128365,0.7571033743090504,99,30,357,30,37.6925892829895
48,MLC-19k,0.45076579818358786,84.58574181117534,0.8516079083214843,0.8445352733546017,0.8478092718341461,439,80,1477,80,0.6142908343497444,77.51937984496125,0.7861104468887825,0.7828804347826087,0.7809618094341138,100,29,358,29,38.07373881340027
49,MLC-19k,0.43907525894733573,82.46628131021194,0.8296690560969515,0.8188172189874197,0.823763782371937,428,91,1466,91,0.672746116624159,72.09302325581395,0.7159722222222222,0.7178873360938578,0.7167463097503316,93,36,351,36,37.51919960975647
50,MLC-19k,0.4167916073248937,84.00770712909441,0.8449873946824903,0.8378190156097697,0.8411928201290382,436,83,1474,83,0.5828912722713807,75.1937984496124,0.7578275938257903,0.750043133195307,0.7472258026017424,97,32,355,32,37.16133785247803
1,MLC-93k,1.2368790791584896,39.113680154142585,0.42814927389395474,0.31970206659687833,0.2889212076583211,203,316,1241,316,1.0227187135640312,53.48837209302325,0.48138888888888887,0.49412156166814547,0.478037540744071,69,60,327,60,36.16744351387024
2,MLC-93k,0.9131184577941894,58.57418111753372,0.6033078013084429,0.5494139872002467,0.5538847671887546,304,215,1342,215,0.9141084972549888,56.58914728682171,0.6344420077972709,0.6203155175113523,0.6085710202451524,73,56,331,56,35.724539279937744
3,MLC-93k,0.7892294970842508,64.16184971098265,0.6473566894890727,0.6425739683143911,0.6426471333234689,333,186,1371,186,0.7538280522122103,68.9922480620155,0.7275725338491297,0.6785975259669085,0.6789001122334456,89,40,347,40,36.26292395591736
4,MLC-93k,0.7278375676045051,64.9325626204239,0.6644688837251571,0.6378605923025407,0.6481987182906263,337,182,1375,182,0.6608260256402633,74.4186046511628,0.7539743589743589,0.7309097552064304,0.7348353472066831,96,33,354,33,36.150243520736694
5,MLC-93k,0.6546476277021261,72.44701348747591,0.7307450618915201,0.721093125232494,0.7253886565767694,376,143,1414,143,0.6762686687357286,71.31782945736434,0.7345407636738907,0.7150033926614124,0.7170979532163743,92,37,350,37,37.281070947647095
6,MLC-93k,0.6343263600881283,74.18111753371869,0.7504487691371197,0.7261962566656224,0.7357680653786337,385,134,1423,134,0.6098000810426825,75.96899224806202,0.7853412170485341,0.7741727125632861,0.7772652052439287,98,31,356,31,40.639978647232056
7,MLC-93k,0.5963496492459224,74.75915221579962,0.7611182057982734,0.741520653553258,0.7490121021333757,388,131,1426,131,0.6602231982876273,75.1937984496124,0.7716033966033966,0.7783548201889451,0.7698776161182177,97,32,355,32,37.2917115688324
8,MLC-93k,0.5637012417499836,76.49325626204238,0.77892839918702,0.7665786293046083,0.7719476018411864,397,122,1435,122,0.6176944497753593,75.96899224806202,0.7812950937950938,0.7684051881622214,0.771553729697822,98,31,356,31,35.180779695510864
9,MLC-93k,0.5635832584821261,76.49325626204238,0.7687387869367499,0.7646593375859776,0.7665171480522395,397,122,1435,122,0.6329961690832587,72.09302325581395,0.7377075702075702,0.7592123806044158,0.7415356932246583,93,36,351,36,35.55064916610718
10,MLC-93k,0.5235226046580534,76.6859344894027,0.7703343005846682,0.7700746719598388,0.770025391054421,398,121,1436,121,0.5864467392949497,79.06976744186046,0.8129102257391732,0.7913447987890809,0.7973560372897988,102,27,360,27,35.26831078529358
11,MLC-93k,0.49457768373764477,79.1907514450867,0.8027096411687205,0.7917208939986201,0.7967603486286221,411,108,1449,108,0.5544986058683956,80.62015503875969,0.8159090909090909,0.7980322563808132,0.8053418803418804,104,25,362,25,38.09231400489807
12,MLC-93k,0.4990450721520644,80.53949903660886,0.8100210173904819,0.8037846531274471,0.8066122827126265,418,101,1456,101,0.6586487012750962,71.31782945736434,0.7702795193312435,0.7663500182681768,0.738736377450531,92,37,350,37,38.38234901428223
13,MLC-93k,0.508357655772796,77.26396917148362,0.7850490557898965,0.7726017600819116,0.778152244015997,401,118,1439,118,0.551656616084716,76.74418604651163,0.7822006072006071,0.7953116029020304,0.7802889213062054,99,30,357,30,39.37848353385925
14,MLC-93k,0.4288236216856883,83.62235067437379,0.8425239494593312,0.8337584581509468,0.837809177008891,434,85,1472,85,0.5007988372269798,78.29457364341084,0.7884671335469208,0.7894788350122658,0.7880716155410867,101,28,359,28,39.64207911491394
15,MLC-93k,0.42287545399023935,82.65895953757226,0.8250315747606529,0.8211769419099546,0.8229625512638918,429,90,1467,90,0.4466496986501357,82.94573643410853,0.8323250406882121,0.8281095046714337,0.8301028184659898,107,22,365,22,35.43841600418091
16,MLC-93k,0.4232121173005838,84.20038535645472,0.8483506730889583,0.838311183798369,0.8428918606201827,437,82,1475,82,0.5799685550086638,80.62015503875969,0.840362684357695,0.7900138316196044,0.8071852060982496,104,25,362,25,35.78402662277222
17,MLC-93k,0.44188430928266964,81.88824662813103,0.8298131601269378,0.8173591262606659,0.8229392148897998,425,94,1463,94,0.44921909097362966,82.94573643410853,0.8395883628266729,0.8328918523931312,0.8336727923988669,107,22,365,22,35.59918737411499
18,MLC-93k,0.37749222425314094,86.51252408477842,0.871982196957771,0.8652206025010928,0.8683356503041304,449,70,1487,70,0.418742629535058,87.59689922480621,0.8910986990950227,0.8840427475337962,0.8853210798061297,113,16,371,16,39.23141956329346
19,MLC-93k,0.39089464757304926,84.20038535645472,0.8478371627009751,0.840107921212145,0.8435307397457419,437,82,1475,82,0.40276141902979684,80.62015503875969,0.819269943019943,0.8166005532647842,0.8120872596725294,104,25,362,25,38.888580560684204
20,MLC-93k,0.38555671721696855,84.97109826589595,0.8488624937154348,0.846971871171756,0.8478830612704851,441,78,1479,78,0.43794094902627606,85.27131782945736,0.8551281024107111,0.8617033770029752,0.8576155702411559,110,19,368,19,38.702532052993774
21,MLC-93k,0.41998379987019757,82.27360308285164,0.8332522524652657,0.8245954677272971,0.8286388224541357,427,92,1465,92,0.5145838475402664,78.29457364341084,0.8002308865810009,0.7974972597734745,0.7956342053764548,101,28,359,28,38.03417754173279
22,MLC-93k,0.353395784760897,87.66859344894027,0.8823543720159842,0.874967386969116,0.8783796147614312,455,64,1493,64,0.4511103586238973,83.72093023255815,0.8469817927170868,0.8424956939297459,0.8441881265723569,108,21,366,21,38.19097447395325
23,MLC-93k,0.33845276428529847,85.16377649325626,0.8530917366946777,0.8529411488650012,0.8528646989893763,442,77,1480,77,0.3917120230548522,87.59689922480621,0.8763272265816207,0.8898102719348608,0.8820447590132743,113,16,371,16,38.30338525772095
24,MLC-93k,0.3437800060097988,86.51252408477842,0.8711830343422635,0.8600746464159348,0.8651106483557154,449,70,1487,70,0.4463825629037969,77.51937984496125,0.7825,0.7587752492301267,0.7514880952380952,100,29,358,29,35.45705533027649
25,MLC-93k,0.33209787085652354,88.6319845857418,0.8949616145320924,0.8794565558191925,0.8862304272118987,460,59,1498,59,0.5024164783604005,78.29457364341084,0.7926013541071866,0.8067814082154601,0.7966242999085678,101,28,359,28,38.56627869606018
26,MLC-93k,0.3370611833838316,85.35645472061657,0.8653056916865574,0.8514937243380297,0.8574780337905253,443,76,1481,76,0.40460292994976044,79.84496124031007,0.8013558201058202,0.8079818884075369,0.800223557307207,103,26,361,26,38.584617376327515
27,MLC-93k,0.3244491934776306,86.70520231213872,0.8709937060794779,0.8690482911662883,0.8700035753610174,450,69,1488,69,0.3940371393280871,85.27131782945736,0.8547037854412451,0.8526997755623988,0.8530808368319932,110,19,368,19,37.980584383010864
28,MLC-93k,0.3248279803360884,85.74181117533719,0.8618135317691341,0.856933328390885,0.8591622820258479,445,74,1483,74,0.4920826674822499,80.62015503875969,0.8147876447876448,0.8403752805470014,0.8209149326805386,104,25,362,25,38.63560700416565
29,MLC-93k,0.33333751140878753,85.35645472061657,0.8570605543919423,0.8532039243515501,0.8550230474219346,443,76,1481,76,0.34312216871801543,84.49612403100775,0.8495738636363637,0.8475977347460724,0.8479166666666667,109,20,367,20,37.51660180091858
30,MLC-93k,0.3575490529147478,86.31984585741812,0.869368617980647,0.8643972808930055,0.8666787427567479,448,71,1486,71,0.34654857612708034,86.82170542635659,0.8773504273504273,0.8741583589957722,0.8728355125068064,112,17,370,17,35.54121685028076
31,MLC-93k,0.2933879385773952,87.66859344894027,0.8837401762324363,0.8713027307859051,0.876863715761443,455,64,1493,64,0.38385826568393144,81.3953488372093,0.8085622250157134,0.8259238477999895,0.8155516703365429,105,24,363,24,38.14529895782471
32,MLC-93k,0.2578250737144397,90.94412331406551,0.9130349573294219,0.9077541342214533,0.9102049244841819,472,47,1510,47,0.368084147134248,86.04651162790698,0.8666329284750337,0.8690563181794457,0.8636997206343919,111,18,369,18,39.04291915893555
33,MLC-93k,0.24400512965825888,91.90751445086705,0.9225518368266847,0.916993034593218,0.9195054473291019,477,42,1515,42,0.35269619655959744,87.59689922480621,0.87820569828722,0.8862936478939402,0.8817787742149851,113,16,371,16,39.846304178237915
34,MLC-93k,0.2769184940637877,90.7514450867052,0.910836139902641,0.9066571423547511,0.9085742135015418,471,48,1509,48,0.3454270472421366,85.27131782945736,0.887016806722689,0.836382379038572,0.848467900673783,110,19,368,19,39.28533363342285
35,MLC-93k,0.27316109449244463,89.98073217726397,0.9025496959050783,0.8978739006765094,0.900103021195023,467,52,1505,52,0.4688253718263963,81.3953488372093,0.8402720762634557,0.8053851975572838,0.8120346621522383,105,24,363,24,38.73399233818054
36,MLC-93k,0.2776315660502475,89.40269749518305,0.8995905452313128,0.890725385686218,0.8947749872244943,464,55,1502,55,0.42611609837588144,82.17054263565892,0.8360790197304977,0.8521256328618403,0.8336918746278352,106,23,364,23,37.87048673629761
37,MLC-93k,0.23045327505813196,91.52215799614643,0.9232313000515897,0.9154461343816076,0.9187907827020891,475,44,1513,44,0.3266082684345105,87.59689922480621,0.8817734553775743,0.8827770238530195,0.8799529103767171,113,16,371,16,38.42221403121948
38,MLC-93k,0.25972619156281535,90.36608863198458,0.9054965744753196,0.9025315137519468,0.9035000348687192,469,50,1507,50,0.3376759864828166,86.82170542635659,0.8663988095238095,0.8683908345947075,0.8665197187020361,112,17,370,17,37.38404321670532
39,MLC-93k,0.24218426888378766,90.5587668593449,0.9108598945699233,0.9021111888121027,0.9059080403703554,470,49,1508,49,0.34153562959502726,87.59689922480621,0.8677718115218115,0.8885445482540842,0.8765129817257691,113,16,371,16,37.01123118400574
40,MLC-93k,0.2317101780898296,92.10019267822736,0.9223805958719751,0.9157099316243155,0.9187925672320747,478,41,1516,41,0.32008759567842765,86.82170542635659,0.8687659420169047,0.8914609321989665,0.8754901960784314,112,17,370,17,36.32933735847473
41,MLC-93k,0.27379386166397196,89.40269749518305,0.8955222556168241,0.89413258010895,0.8947759089510224,464,55,1502,55,0.4188056461074773,86.82170542635659,0.8702841986723565,0.8683908345947075,0.8667518426711471,112,17,370,17,37.38153958320618
42,MLC-93k,0.187459472910716,95.37572254335261,0.958660227625745,0.9505157135998479,0.9542427090302313,495,24,1533,24,0.4451205213280285,85.27131782945736,0.8442400192400192,0.8617033770029752,0.8509733785589475,110,19,368,19,38.972578048706055
43,MLC-93k,0.20515219739709908,93.83429672447014,0.939107441047287,0.9367012762803704,0.9377611449608932,487,32,1525,32,0.32713431426707434,86.82170542635659,0.8815830542743412,0.8648742105537867,0.8675170068027211,112,17,370,17,36.52326321601868
44,MLC-93k,0.2461719823571352,90.7514450867052,0.9125512025353358,0.9062543149891272,0.9092227680726555,471,48,1509,48,0.3703637736685136,87.59689922480621,0.8805387205387206,0.8840427475337962,0.8797948232323233,113,16,371,16,36.02059006690979
45,MLC-93k,0.18342237383700333,93.83429672447014,0.9419238006558573,0.9354936466370382,0.9385241166372322,487,32,1525,32,0.31108270497883067,86.82170542635659,0.8608770689293944,0.8799258833968371,0.8686029606563215,112,17,370,17,35.69314360618591
46,MLC-93k,0.21046835154008406,93.25626204238921,0.935551046842737,0.9292373237782499,0.932192965583905,484,35,1522,35,0.3555777883704971,89.14728682170544,0.8904988709431764,0.8987486298867373,0.8926002673796791,115,14,373,14,39.956658124923706
47,MLC-93k,0.21323440712518416,92.29287090558766,0.9245729235850165,0.9240716573039349,0.9242722975437525,479,40,1517,40,0.23485541431342855,89.92248062015504,0.9048809523809523,0.8968174226212224,0.8996470307272106,116,13,374,13,39.438053607940674
48,MLC-93k,0.1969499705072779,92.48554913294798,0.9316092041708147,0.9244569870953384,0.9277717291735683,480,39,1518,39,0.3378778755226556,82.17054263565892,0.8263888888888888,0.8255389112166606,0.8223581261338622,106,23,364,23,37.020997524261475
49,MLC-93k,0.2278079679235816,91.52215799614643,0.9132383825561655,0.9204058100619459,0.916399101847737,475,44,1513,44,0.27021867475088907,89.14728682170544,0.9142316017316017,0.8699110078814134,0.8820101938650797,115,14,373,14,38.419647216796875
50,MLC-93k,0.2019472392849051,92.67822736030828,0.9276946960088885,0.9268385403096467,0.927227996325151,481,38,1519,38,0.4582016658695305,82.94573643410853,0.8381445555095524,0.8258586043112897,0.8298902894491129,107,22,365,22,38.47452521324158
1,MLC-412k,1.1039832830429077,46.82080924855491,0.5444094371045369,0.4550414945024161,0.474453607907093,243,276,1281,276,0.6674498082960353,68.21705426356588,0.7494756464483496,0.6077548410668615,0.6286429774189369,88,41,346,41,41.44880294799805
2,MLC-412k,0.8072569283155294,62.6204238921002,0.6456545420100407,0.6311761426860523,0.6376743873174009,325,194,1363,194,0.6215900901485892,72.86821705426357,0.7233866519580805,0.7058184143222506,0.7121179378905009,94,35,352,35,42.19419002532959
3,MLC-412k,0.6593095591435065,71.86897880539499,0.7330728614819524,0.7205616639820716,0.7256571197002232,373,146,1411,146,0.5124291390837992,75.96899224806202,0.7910353535353536,0.7276306174643771,0.7378393665158371,98,31,356,31,45.12697649002075
4,MLC-412k,0.5928969144821167,74.75915221579962,0.7590734262216939,0.7537003022733817,0.7548292546844342,388,131,1426,131,0.47973944323466106,80.62015503875969,0.8160714285714286,0.7760047497259773,0.791503839297957,104,25,362,25,40.52003192901611
5,MLC-412k,0.5462902662845758,74.18111753371869,0.7549249036011056,0.7472758787539234,0.7508116170882766,385,134,1423,134,0.5601887226734749,74.4186046511628,0.7395258483372384,0.7372762148337596,0.7333357091599196,96,33,354,33,39.44935154914856
6,MLC-412k,0.5436460206141839,78.42003853564547,0.8001879775777656,0.7800671820806284,0.7873273653408329,407,112,1445,112,0.44384456738172207,77.51937984496125,0.7528368794326241,0.7664778955060285,0.7537243366894182,100,29,358,29,39.75067663192749
7,MLC-412k,0.48809337753515974,81.69556840077071,0.8231768467592264,0.8185947294218182,0.8207469649299465,424,95,1462,95,0.4689741965985912,78.29457364341084,0.7830929487179488,0.7807088052612349,0.7788323283858998,101,28,359,28,39.884761571884155
8,MLC-412k,0.4059759669578992,82.46628131021194,0.8382796122864395,0.8227494763447911,0.8292875044754745,428,91,1466,91,0.3941741045358974,82.17054263565892,0.8623518059001929,0.8044208987943003,0.826262888687436,106,23,364,23,44.095065116882324
9,MLC-412k,0.4167619723540086,84.00770712909441,0.8434581848719431,0.8455270277535492,0.8443649552175186,436,83,1474,83,0.39370013776522894,81.3953488372093,0.813969017094017,0.8058640847643406,0.8043137254901961,105,24,363,24,43.384702920913696
10,MLC-412k,0.3966814970740905,85.16377649325626,0.8567962139462835,0.8531681670688254,0.8541480140466339,442,77,1480,77,0.3222549105172648,86.04651162790698,0.8575956937799043,0.8645323346729996,0.8595914107622805,111,18,369,18,41.42878484725952
11,MLC-412k,0.3932488991664006,84.77842003853564,0.8535001719986239,0.8504053597109834,0.8517891328295328,440,79,1478,79,0.4055219204712878,80.62015503875969,0.8453671328671328,0.768542199488491,0.7895443520443521,104,25,362,25,41.18151354789734
12,MLC-412k,0.37461015043350365,83.62235067437379,0.8441597364334334,0.8369551138530059,0.8397228270713282,434,85,1472,85,0.33819512101506594,85.27131782945736,0.839506552006552,0.8464651077822434,0.8420831389055541,110,19,368,19,39.242316007614136
